instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,spring,2011,1,0,6,0,2,0.344167,7.99925,0.805833,0.160446,331,654,985
2,2011-01-02,spring,2011,1,0,0,0,2,0.363478,7.3467740000000035,0.696087,0.248539,131,670,801
3,2011-01-03,spring,2011,1,0,1,1,1,0.196364,-3.499270000000001,0.437273,0.248309,120,1229,1349
4,2011-01-04,spring,2011,1,0,2,1,1,0.2,-1.9999479999999998,0.590435,0.160296,108,1454,1562
5,2011-01-05,spring,2011,1,0,3,1,1,0.226957,-0.8681800000000006,0.436957,0.1869,82,1518,1600
6,2011-01-06,spring,2011,1,0,4,1,1,0.204348,-0.6082059999999991,0.518261,0.0895652,88,1518,1606
7,2011-01-07,spring,2011,1,0,5,1,2,0.196522,-2.2166259999999998,0.498696,0.168726,148,1362,1510
8,2011-01-08,spring,2011,1,0,6,0,2,0.165,-5.291236,0.535833,0.266804,68,891,959
9,2011-01-09,spring,2011,1,0,0,0,1,0.138333,-8.33245,0.434167,0.36195,54,768,822
10,2011-01-10,spring,2011,1,0,1,1,1,0.150833,-6.041392,0.482917,0.223267,41,1280,1321
11,2011-01-11,spring,2011,1,0,2,1,2,0.169091,-3.3633760000000006,0.686364,0.122132,43,1220,1263
12,2011-01-12,spring,2011,1,0,3,1,1,0.172727,-5.408782,0.599545,0.304627,25,1137,1162
13,2011-01-13,spring,2011,1,0,4,1,1,0.165,-6.041722,0.470417,0.301,38,1368,1406
14,2011-01-14,spring,2011,1,0,5,1,1,0.16087,-3.5647420000000007,0.537826,0.126548,54,1367,1421
15,2011-01-15,spring,2011,1,0,6,0,2,0.233333,0.3753920000000015,0.49875,0.157963,222,1026,1248
16,2011-01-16,spring,2011,1,0,0,0,1,0.231667,-0.5416779999999992,0.48375,0.188433,251,953,1204
17,2011-01-17,spring,2011,1,1,1,0,2,0.175833,-4.333113999999998,0.5375,0.194017,117,883,1000
18,2011-01-18,spring,2011,1,0,2,1,2,0.216667,-0.6660219999999999,0.861667,0.146775,9,674,683
19,2011-01-19,spring,2011,1,0,3,1,2,0.292174,3.695852000000002,0.741739,0.208317,78,1572,1650
20,2011-01-20,spring,2011,1,0,4,1,2,0.261667,0.8333000000000013,0.538333,0.195904,83,1844,1927
21,2011-01-21,spring,2011,1,0,5,1,1,0.1775,-5.583022,0.457083,0.353242,75,1468,1543
22,2011-01-22,spring,2011,1,0,6,0,1,0.0591304,-10.7814064,0.4,0.17197,93,888,981
23,2011-01-23,spring,2011,1,0,0,0,1,0.0965217,-9.4766194,0.436522,0.2466,150,836,986
24,2011-01-24,spring,2011,1,0,1,1,1,0.0973913,-8.21662,0.491739,0.15833,86,1330,1416
25,2011-01-25,spring,2011,1,0,2,1,2,0.223478,-0.5212839999999996,0.616957,0.129796,186,1799,1985
26,2011-01-26,spring,2011,1,0,3,1,3,0.2175,-2.5624000000000002,0.8625,0.29385,34,472,506
27,2011-01-27,spring,2011,1,0,4,1,1,0.195,-1.4998000000000005,0.6875,0.113837,15,416,431
28,2011-01-28,spring,2011,1,0,5,1,2,0.203478,-1.2610780000000013,0.793043,0.1233,38,1129,1167
29,2011-01-29,spring,2011,1,0,6,0,1,0.196522,-1.9996840000000002,0.651739,0.145365,123,975,1098
30,2011-01-30,spring,2011,1,0,0,0,1,0.216522,0.5212520000000005,0.722174,0.0739826,140,956,1096
31,2011-01-31,spring,2011,1,0,1,1,2,0.180833,-3.7074999999999996,0.60375,0.187192,42,1459,1501
32,2011-02-01,spring,2011,2,0,2,1,2,0.192174,-0.52102,0.829565,0.053213,47,1313,1360
33,2011-02-02,spring,2011,2,0,3,1,2,0.26,0.7915220000000005,0.775417,0.264308,72,1454,1526
34,2011-02-03,spring,2011,2,0,4,1,1,0.186957,-4.260052,0.437826,0.277752,61,1489,1550
35,2011-02-04,spring,2011,2,0,5,1,2,0.211304,-0.913257999999999,0.585217,0.127839,88,1620,1708
36,2011-02-05,spring,2011,2,0,6,0,2,0.233333,0.041827999999998866,0.929167,0.161079,100,905,1005
37,2011-02-06,spring,2011,2,0,0,0,1,0.285833,3.2502860000000027,0.568333,0.1418,354,1269,1623
38,2011-02-07,spring,2011,2,0,1,1,1,0.271667,4.041428,0.738333,0.0454083,120,1592,1712
39,2011-02-08,spring,2011,2,0,2,1,1,0.220833,-2.9157639999999994,0.537917,0.36195,64,1466,1530
40,2011-02-09,spring,2011,2,0,3,1,2,0.134783,-6.477322000000001,0.494783,0.188839,53,1552,1605
41,2011-02-10,spring,2011,2,0,4,1,1,0.144348,-6.129832,0.437391,0.221935,47,1491,1538
42,2011-02-11,spring,2011,2,0,5,1,1,0.189091,-1.9084059999999994,0.506364,0.10855,149,1597,1746
43,2011-02-12,spring,2011,2,0,6,0,1,0.2225,-0.6250359999999997,0.544167,0.203367,288,1184,1472
44,2011-02-13,spring,2011,2,0,0,0,1,0.316522,5.391458,0.457391,0.260883,397,1192,1589
45,2011-02-14,spring,2011,2,0,1,1,1,0.415,10.2911,0.375833,0.417908,208,1705,1913
46,2011-02-15,spring,2011,2,0,2,1,1,0.266087,0.7820840000000011,0.314348,0.291374,140,1675,1815
47,2011-02-16,spring,2011,2,0,3,1,1,0.318261,4.869199999999999,0.423478,0.251791,218,1897,2115
48,2011-02-17,spring,2011,2,0,4,1,1,0.435833,12.291428,0.505,0.230104,259,2216,2475
49,2011-02-18,spring,2011,2,0,5,1,1,0.521667,17.790878,0.516667,0.264925,579,2348,2927
50,2011-02-19,spring,2011,2,0,6,0,1,0.399167,9.832663999999998,0.187917,0.507463,532,1103,1635
51,2011-02-20,spring,2011,2,0,0,0,1,0.285217,2.3037799999999997,0.407826,0.223235,639,1173,1812
52,2011-02-21,spring,2011,2,1,1,0,2,0.303333,2.7489500000000007,0.605,0.307846,195,912,1107
53,2011-02-22,spring,2011,2,0,2,1,1,0.182222,-3.7218219999999995,0.577778,0.195683,74,1376,1450
54,2011-02-23,spring,2011,2,0,3,1,1,0.221739,0.21732199999999935,0.423043,0.094113,139,1778,1917
55,2011-02-24,spring,2011,2,0,4,1,2,0.295652,3.0866059999999997,0.697391,0.250496,100,1707,1807
56,2011-02-25,spring,2011,2,0,5,1,2,0.364348,7.130426,0.712174,0.346539,120,1341,1461
57,2011-02-26,spring,2011,2,0,6,0,1,0.2825,2.6246720000000003,0.537917,0.186571,424,1545,1969
58,2011-02-27,spring,2011,2,0,0,0,1,0.343478,7.173193999999999,0.68,0.125248,694,1708,2402
59,2011-02-28,spring,2011,2,0,1,1,2,0.407273,10.407787999999996,0.876364,0.289686,81,1365,1446
60,2011-03-01,spring,2011,3,0,2,1,1,0.266667,1.416013999999997,0.535,0.216425,137,1714,1851
61,2011-03-02,spring,2011,3,0,3,1,1,0.335,5.1246860000000005,0.449583,0.307833,231,1903,2134
62,2011-03-03,spring,2011,3,0,4,1,1,0.198333,-2.7912219999999994,0.318333,0.225754,123,1562,1685
63,2011-03-04,spring,2011,3,0,5,1,2,0.261667,0.8748140000000006,0.610417,0.203346,214,1730,1944
64,2011-03-05,spring,2011,3,0,6,0,2,0.384167,8.999413999999998,0.789167,0.251871,640,1437,2077
65,2011-03-06,spring,2011,3,0,0,0,2,0.376522,8.172632,0.948261,0.343287,114,491,605
66,2011-03-07,spring,2011,3,0,1,1,1,0.261739,-0.26157399999999953,0.551304,0.341352,244,1628,1872
67,2011-03-08,spring,2011,3,0,2,1,1,0.2925,3.958400000000001,0.420833,0.12065,316,1817,2133
